content_type,description,typical_duration
Dance Challenge,Choreographed dance routines,30-60 seconds
Lip Sync / Vocal Showcase,Singing along or showcasing vocals,30-90 seconds
POV / Storytelling,Point of view storytelling videos,15-60 seconds
Duets,Duet format with split screen,15-30 seconds
Comedy / Parody,Funny takes or parodies,15-45 seconds
GRWM / Transition,Get ready with me or outfit transitions,30-90 seconds
Emotional / Sad Content,Emotional vulnerability or sad content,30-60 seconds
Thirst Edits,Attractive person edits,15-30 seconds
Friendship Posts,Celebrating friendships,30-60 seconds
Couple Content,Romantic couple content,30-60 seconds
Background Music,Used as background for other content,Full song or clip
